"","","","","",
"A'Gallamiull","Lesser deity","Chaotic Evil","Xvarts","White Dwarf magazine #42 - Inhuman Gods part IV",
"Aarth","Demigod","Lawful Neutral","knowledge, Lankhmar and surrounding lands","Lankhmar, City of Adventure (Second Edition), Deities & Demigods (First Edition)",
"Aasterinian","Demigoddess/Lesser deity","Chaotic Neutral","invention, Learning, play, pleasure","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Draconomicon (Third Edition), Defenders of the Faith, On Hallowed Ground, Monster Mythology",
"Abbathor","Intermediate deity/Greater deity","Neutral Evil","evil, Greed","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #58 - The Gods of the Dwarves",
"Abex/Sritinna","divine level unknown","Lawful Evil","charisma, dominance","Imagine magazine #26 - The Gods of Pelinore",
"Adad","Intermediate deity","Chaotic Neutral","Rain, storms, strength","Dragon magazine #329 - Mesopotamian Mythos",
"Aegir (Aeger)","Intermediate deity/Lesser deity","Neutral Evil (Chaotic Evil) (Chaotic Neutral)","Sea, storms","Deities & Demigods (Third Edition), On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Aengrist","divine level unknown","Lawful Good","order and law in the frostfell, safety in the frostfell","Frostburn",
"Aerdrie Faenya","Intermediate deity/Lesser deity","Chaotic Good (Chaotic Neutral)","Air, avariels, avians, fertility, Rain, weather","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Faiths & Pantheons, Living Greyhawk Journal no. 3 - Gods of Oerth, Warriors of Heaven, Demihuman Deities, On Hallowed Ground, Monster Mythology, Dragon magazine #60 - The Gods of the Elves",
"Afflux","Lesser deity","Neutral Evil","death, Inquiry, necromancy","Libris Mortis",
"Agni","Intermediate deity/Greater deity","Chaotic Good (Chaotic Neutral)","Fire, lightning, messages","On Hallowed Ground, Legends & Lore (Second Edition), Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Ahriman","divine level unknown","Chaotic Evil","anger, death, disease, fear, hate","Dragon magazine #288 - Four Faces of Death, Dragon magazine #12 - The Persian Mythos",
"Ahto","Greater deity","Neutral Good","Seas, waters","Warriors of Heaven, On Hallowed Ground, Deities & Demigods (First Edition), Gods, Demi-Gods & Heroes",
"Ahura Mazda (Ohrmazd)","divine level unknown","Lawful Good","not listed","Dragon magazine #12 - The Persian Mythos",
"Aizen-Myoo","divine level unknown","not listed","Love, sexual passion changed into desire or enlightenment","Dragon magazine #13 - The Japanese Mythos",
"Akadi","Greater deity","Neutral","air elementalists, Elemental air, flying creatures, movement, speed","Faiths & Pantheons, Forgotten Realms Campaign Setting (Third Edition), On Hallowed Ground, Faiths & Avatars",
"Al'Akbar","Demigod","Lawful Good","dignity, duty, faithfulness, Guadianship","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, Player's Guide to Greyhawk",
"Al'Kalim","Demigod","Lawful Good","growing things, life, Preservation","Warriors of Heaven",
"Al-Ishtus","divine level unknown","Neutral Evil","desert-dwelling vermin, monstrous humanoid raiders and marauders of the waste","Sandstorm",
"Ala","Greater deity","Neutral","death, Earth, fertility, Love","Dragon magazine #191 - An African Genesis, Dragon magazine #27 - The Mythos of Africa in Dungeons & Dragons",
"Aladantle","divine level unknown","Lawful Good","Beauty","The Unknown Gods",
"Alathrien Druanna","Demigoddess","Neutral (Neutral Good)","Conjurations, Geometric magic, Rune magic","Warriors of Heaven, Dragon magazine #251 - Magic of the Seldarine",
"Alinah","divine level unknown","Lawful Neutral","The moon","The Unknown Gods",
"All-Loving, The","Greater deity","Neutral Good","benevolence","White Dwarf magazine #55 - The Gods of the Shapelings",
"Allitur","Lesser deity","Lawful Good (Lawful Neutral)","Ethics and propriety","http://www.wizards.com/rpga/downloads/LG_Deities.zip, Living Greyhawk Journal no. 3 - Gods of Oerth, Living Greyhawk Gazetteer, Warriors of Heaven, Player's Guide to Greyhawk, The Temple of Elemental Evil",
"Alobal Lorfiril","Demigod","Chaotic Good","Hedonism, magic, mirth, revelry","Races of the Wild",
"Alphatia","Intermediate deity","Lawful Good","artistry, Pacifism","Warriors of Heaven",
"Altua","divine level unknown","Lawful Good","Honor, nobility","Complete Warrior",
"Aluvan","Lesser deity","Neutral Good","death, ghosts, guarding and protecting souls","Ghostwalk",
